,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
52,52,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,,0.034,384,8192.0,,,,66.39,,,39.44,54.02,66.03,,
53,54,[Hakim-small](https://huggingface.co/MCINext/Hakim-small),100%,,0.039,512,512.0,,,,63.95,,,,,86.69,64.99,
54,55,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,0.011,0.023,768,512.0,,,,,,,,,,46.67,
55,56,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,0.023,0.033,512,512.0,,,,61.81,,,,,,68.95,76.48
56,57,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,0.043,0.066,30522,512.0,,,,,,,,,,46.81,
57,58,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,0.012,0.024,384,512.0,,,,,,,,,,39.99,
58,59,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,0.043,0.066,30522,512.0,,,,,,,,,,45.01,
59,60,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,0.011,0.023,30522,512.0,,,,,,,,,,44.96,
60,61,[PawanEmbd-68M](https://huggingface.co/dmedhi/PawanEmbd-68M),96%,0.004,0.068,768,512.0,,,,63.19,,,,78.13,,,49.2
61,62,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99%,0.013,0.024,512,512.0,,,,49.32,,,,46.65,,,
62,63,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,0.0,0.002,64,,,,,,35.39,,,,,36.57,
63,63,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,0.0,0.001,64,,,,,,35.07,,,,,37.32,
64,65,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,0.0,0.008,256,,,,,,34.61,,,,,39.84,
65,66,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,0.0,0.001,64,,,,,,34.25,,,,,35.37,
66,67,[LateOn-Code-edge](https://huggingface.co/lightonai/LateOn-Code-edge),99%,0.004,0.017,48,7999.0,,,,,,,,,,85.63,
67,68,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,0.0,0.0,64,,,,,,32.9,,,,,17.35,
68,69,[LateOn-Code-edge-pretrain](https://huggingface.co/lightonai/LateOn-Code-edge-pretrain),100%,0.004,0.017,48,7999.0,,,,,,,,,,74.63,
